Time,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline,Baseline
,population_mean,population_sem,population_shuffled_mean,population_shuffled_lower_conf,population_shuffled_upper_conf,up_modulated_mean,up_modulated_sem,down_modulated_mean,down_modulated_sem,non_modulated_mean,non_modulated_sem,C00_mean,C00_sem,C01_mean,C01_sem,C02_mean,C02_sem,C06_mean,C06_sem,C07_mean,C07_sem,C08_mean,C08_sem,C09_mean,C09_sem,C10_mean,C10_sem,C11_mean,C11_sem,C13_mean,C13_sem,C14_mean,C14_sem,C15_mean,C15_sem,C16_mean,C16_sem,C18_mean,C18_sem
-1.1,0.11068572849035263,0.20232191681861877,0.1693715751171112,-0.12565938,0.5380495071411129,,,,,0.11068572849035263,0.1326001137495041,-0.535710275,0.04891384,-0.007727563,0.2615656554698944,1.6887303590774536,1.4478676319122314,0.2048465460538864,0.4032284915447235,-0.797136605,0.076058924,0.7316158413887024,0.418319434,-0.825534999,0.42389118671417236,-0.212880194,0.3842429220676422,0.6635439991950989,0.13053658604621887,0.3624659478664398,0.38117092847824097,-0.380420595,0.5174198150634766,-0.059079129,0.5694924592971802,-0.298101544,0.5777279734611511,0.5459060072898865,0.6168897151947021
-1,0.039126758,0.1522204875946045,0.18363094329833984,-0.182772464,0.5886073678731909,,,,,0.039126758,0.14567872881889343,-0.477087229,0.081487708,0.029411733150482178,0.36208784580230713,1.613148808479309,1.0893555879592896,0.2418966293334961,0.4328223168849945,-0.662722111,0.084900916,0.5901214480400085,0.5445271730422974,-0.921130896,0.4127548336982727,-0.632921755,0.28571799397468567,0.033150416,0.5069397687911987,0.4433148205280304,0.29205456376075745,-0.242118597,0.2508363723754883,-0.649752259,0.5849876999855042,-0.514139652,0.6619277000427246,0.7574926018714905,0.20118778944015503
-0.9,0.15520255267620087,0.048985209316015244,0.18169689178466797,-0.091214093,0.588228655,,,,,0.15520255267620087,0.14625878632068634,-0.485126495,0.027396571,0.3101571798324585,0.5010250806808472,1.532523751,0.878093958,-0.164767459,0.37078580260276794,-0.776125252,0.056982580572366714,0.5646043419837952,0.35383686423301697,-1.17982316,0.18562346696853638,-0.287293851,0.20727980136871338,-0.186171159,0.2526451051235199,0.8277347087860107,0.23375709354877472,-0.21494472,0.29299792647361755,0.42954888939857483,0.27291569113731384,0.1287948042154312,0.250071645,0.7701141238212585,0.16261738538742065
-0.8,0.19323338568210602,0.028196211904287338,0.1742093563079834,-0.087944752,0.46308752894401545,,,,,0.1932334005832672,0.12951979041099548,-0.507857978,0.038051523,0.259708971,0.49753710627555847,1.3354381322860718,0.8531243801116943,-0.164516807,0.33254534006118774,-0.836356103,0.10662420839071274,0.5271832346916199,0.30514439940452576,-0.224474117,0.098289803,0.10230713337659836,0.328684002,-0.047502201,0.4994744062423706,0.2275189757347107,0.1748204529285431,-0.106651716,0.30004367232322693,0.7521803975105286,0.179611474,0.3407023847103119,0.3119676113128662,1.1620283126831055,0.35313287377357483
-0.7,0.090539992,0.127540722,0.17538172006607056,-0.132869134,0.5028937518596646,,,,,0.090539992,0.12112648040056229,-0.554203689,0.021838322281837463,0.062042039,0.6058644652366638,1.0728769302368164,0.6416994333267212,0.045582607,0.22362348437309265,-0.776929557,0.057403315,0.6081727743148804,0.3548683822154999,-0.799998939,0.2330547273159027,-0.116009347,0.21262024343013763,0.094554581,0.2201411873102188,-0.043478381,0.3324945271015167,-0.209732413,0.4166698455810547,-0.004585614,0.45330026745796204,0.23422455787658691,0.18158172070980072,0.9167811870574951,0.1460883766412735
-0.6,0.015997938811779022,0.040361739695072174,0.14144963026046753,-0.208919455,0.45940462946891786,,,,,0.015997933223843575,0.13115088641643524,-0.460903972,0.032531045377254486,-0.145768598,0.5346881151199341,0.9577212333679199,0.6693072319030762,-0.273546219,0.1560089886188507,-0.765679598,0.093721434,0.42669782042503357,0.24494189023971558,-1.081034422,0.10985986888408661,-0.007011657,0.16635338962078094,-0.531954825,0.2965681850910187,-0.768983364,0.6798006296157837,0.020669272169470787,0.30526766180992126,0.14566554129123688,0.44920897483825684,0.5973742604255676,0.6491388082504272,0.635073721,0.14908146858215332
-0.5,0.042997181,0.097168975,0.13340836763381958,-0.127586117,0.46747264862060545,,,,,0.042997173964977264,0.12490136921405792,-0.524428904,0.052617021,-0.135003641,0.41859322786331177,0.7272375226020813,0.7176018357276917,-0.313155562,0.18893592059612274,-0.780359507,0.15473869442939758,0.6202387809753418,0.05686491,-1.399618983,0.43700361251831055,0.4893704950809479,0.039592232555150986,-0.332217842,0.3931117355823517,0.309853196,0.9603922963142395,0.3135841488838196,0.38198763132095337,0.16720135509967804,0.255416602,-0.534133434,0.44969838857650757,0.3775370121002197,0.3706107437610626
-0.4,0.037213039,0.1737775057554245,0.14857421815395355,-0.100801271,0.5113073885440823,,,,,0.037213035,0.13117648661136627,-0.592699289,0.088027008,-0.182993278,0.48108136653900146,0.9769167304039001,0.6954429149627686,-0.212163284,0.0556514,-0.833045483,0.15794134140014648,1.1166497468948364,0.43647143244743347,-0.754490316,0.7777979969978333,-0.442452431,0.24152804911136627,-0.040911626,0.35135579109191895,-0.037126701,0.7318897843360901,0.32660427689552307,0.7431076169013977,0.7689275145530701,0.6146048903465271,-0.354114324,0.6109806299209595,0.3512962758541107,0.18171261250972748
-0.3,0.2977316677570343,0.16559377312660217,0.13637621700763702,-0.099924558,0.39856773614883406,,,,,0.2977316677570343,0.1359744668006897,-0.656297147,0.049398027,-0.158787295,0.4078885316848755,1.3882051706314087,1.1297650337219238,-0.243028983,0.2223859429359436,-0.785594165,0.13183897733688354,1.2691739797592163,0.5654157400131226,0.7622230052947998,0.5420058965682983,0.038477045,0.3111443519592285,0.03222869,0.3562561571598053,0.010552585124969482,0.6083462238311768,0.4447672665119171,0.3136160373687744,0.5513310432434082,0.3267346918582916,-0.113054395,0.7326914072036743,0.6791767477989197,0.23610727488994598
-0.2,0.286131352,0.077519,0.1345769315958023,-0.09416076,0.4068937003612515,,,,,0.2861313223838806,0.1323222666978836,-0.434561461,0.073213317,-0.079583824,0.4947660565376282,1.597413182258606,1.0553773641586304,0.076699182,0.18609213829040527,-0.881323814,0.087419719,1.2409389019012451,0.7300084829330444,-0.083156146,0.6634594798088074,0.072034769,0.3630392849445343,-0.272090316,0.5632811784744263,0.9854083061218262,0.16993965208530426,0.5700819492340088,0.51045239,0.4598883092403412,0.46001923084259033,-0.082351185,0.3105790317058563,0.4348374307155609,0.1355082243680954
