Time,population_mean,population_sem,population_shuffled_mean,up_modulated_mean,up_modulated_sem,down_modulated_mean,down_modulated_sem,non_modulated_mean,non_modulated_sem,C00_mean,C00_sem,C01_mean,C01_sem,C02_mean,C02_sem,C03_mean,C03_sem,C04_mean,C04_sem,C05_mean,C05_sem,C06_mean,C06_sem,C07_mean,C07_sem,C08_mean,C08_sem,C09_mean,C09_sem,C10_mean,C10_sem,C11_mean,C11_sem,C12_mean,C12_sem,C13_mean,C13_sem,C14_mean,C14_sem,C15_mean,C15_sem,C16_mean,C16_sem,C17_mean,C17_sem,C18_mean,C18_sem,C19_mean,C19_sem
-1,-0.0428162,0.042377251,-0.002874905,,,,,-0.0428162,0.037452577,-0.180800773,0.073531805,-0.030952509,0.069290366,-0.086761027,0.12384623169740747,0.049852359,0.11561397454641735,0.16381789429359278,0.1559936155451528,0.15280034962408948,0.15372782697439002,0.081973743,0.1387600142442168,-0.218910244,0.093417974,-0.051649758,0.14984602880072087,-0.207042578,0.136052719,-0.207939491,0.13130621400614292,0.2808913666895538,0.13484416602229787,-0.262231731,0.11723023480686035,0.016713947,0.1258975746863183,-0.278687441,0.13008854054581648,-0.216535433,0.11629705692726436,-0.121091309,0.13657469975483066,0.100816557,0.14091558853266617,-0.026119411,0.12336183127096807,0.1855314876884222,0.13546404663346323
-0.9,-0.006420494,0.041173483182533326,-0.001772248,,,,,-0.006420489,0.030451073403137283,-0.129007757,0.094968319,-0.017113753,0.078169034,-0.040772138,0.10937118238054039,0.12176040141790542,0.13049817807259487,0.24354231519238004,0.17863894116525558,0.057914337,0.1687005457042814,0.10554699100694566,0.15446986174795804,-0.250395711,0.091771473,-0.025800433,0.14628344432426563,-0.260215879,0.1411784063859485,-0.159084447,0.12160526965695806,0.14902896456033835,0.1382360443574146,-0.126729074,0.12716104833468775,0.041420738,0.12080364109809237,-0.083398482,0.1378416710460065,-0.058165986,0.11288702917336889,0.025701390842924703,0.12096880330455229,0.11505211460983979,0.1217183289167357,0.003121159,0.11954296979898364,0.15918547266496802,0.13449486601228688
-0.8,0.030463804,0.047392246,0.003247226,,,,,0.030463801691515087,0.031447358,-0.135819205,0.094398294,0.006178177,0.072879874,-0.059220511,0.1159114540058929,0.1424203105622305,0.14631105249664256,0.28763588032913656,0.18231013012851974,0.082524808,0.1587777474028683,0.21477007655040273,0.15726022025269568,-0.280896313,0.092233194,-0.049153179,0.14227127488469607,-0.033335963,0.12002126618031864,-0.0849395,0.12700775079887722,0.25978720462266003,0.1252069287893083,0.010313526,0.13281372311221198,-0.116211436,0.12607326325848378,-0.055114012,0.15130351569135125,0.027500642779863107,0.15052489878586306,0.086285325,0.125558377,0.061680987,0.12924440401601478,0.14032955734797245,0.13773516179493187,0.1045396587336963,0.14379445754854503
-0.7,0.013616716682489188,0.045974874,-0.002775502,,,,,0.013616710757107178,0.031105685,-0.12184777,0.087619892,-0.018897088,0.088519801,-0.141598993,0.13074039435235543,0.19149668556901644,0.1395343157055159,0.20063290564027034,0.16086962174948374,0.2173903485735931,0.14796665642191398,0.18364321305152942,0.14351423026423032,-0.333881469,0.089523894,-0.002441068,0.13927262702622864,0.157378107,0.14320321965549046,-0.009555763,0.1125325086002582,0.017460485375574174,0.13961112592649993,0.01534456,0.12796327654570036,-0.088850042,0.14854740361766888,-0.080418547,0.14466744648030433,-0.104095183,0.12659367028152282,0.043079805,0.13348566606611573,0.055594281,0.13456146618718948,0.10498938068114924,0.13754283181666677,-0.013089634,0.12429406918716791
-0.6,0.005471204,0.040951958,-0.003490671,,,,,0.005471205,0.031037459988792527,-0.151370461,0.073955582,0.023086388402108877,0.12730049855075695,0.003244114,0.15269313409574103,0.1965896015951656,0.13162815933798877,0.10024097220937037,0.1318666718370047,0.20042667960097907,0.1573742774080034,0.10539263366932436,0.11454310320601442,-0.334153992,0.095964904,-0.043100689,0.13658204112736827,0.022580646,0.1427437411498132,0.072787932,0.13780686970664244,0.026271137,0.13883424347278966,-0.139755692,0.11153980589922109,-0.126667081,0.13001458925677242,0.004772884,0.13817149186955313,-0.071468798,0.11661646352122296,0.21344024290875444,0.1401585161646507,0.1352202112101159,0.11939312144399766,0.008269089,0.11036814845753361,-0.136381712,0.12116071951938565
-0.5,0.015177567799153895,0.043508215448736634,-0.005314734,,,,,0.015177568,0.025996934,-0.163027968,0.062750234,0.085413616,0.16554901367088792,0.038624254,0.18879248794858164,0.19266808922578282,0.13828438773009719,0.094851802,0.12292761846287492,0.025323948699910687,0.15051478354980158,0.056826191,0.095813834,-0.296046034,0.11204732673886722,-0.077912005,0.1285900834720575,0.019176318,0.18358067652904256,0.015794299,0.12416563040810424,0.1568405651750992,0.14525603436458975,-0.04330666,0.1178903650096922,0.03569798,0.15119875866906787,0.057685459,0.15008298115879765,0.017111027789003443,0.1224715555455538,0.13016649405911285,0.14524647724771064,0.057811978,0.109352783,0.061891444695164576,0.136342095,-0.16203944,0.14337317715856424
-0.4,-0.001350715,0.046636767690547726,-0.005964952,,,,,-0.001350717,0.027854962492839024,-0.151222611,0.074768417,0.11790205039224534,0.19070231345091027,0.082108958,0.2071066111862812,0.21484544268756542,0.15136691449739018,-0.040061921,0.10172225824561722,-0.047252386,0.14666520168172417,-0.018812895,0.089440668,-0.273893241,0.12642428894656943,-0.105528931,0.12631466836318933,0.098693553,0.12938512803577895,0.037741204301984806,0.12202081028137514,0.17978795326121574,0.13323345014482185,-0.064950759,0.12485276644539987,-0.199610389,0.1406801076896332,-0.064014799,0.1668684430883858,0.008685195,0.14489609882826673,0.085116509,0.15436936111414978,-0.006543504,0.14653780480835674,0.12576660808293316,0.13000310801581297,-0.005770377,0.15473719559712767
-0.3,-0.058328325,0.047871703,-0.009757444,,,,,-0.05832832,0.038756553,-0.130744889,0.10453758436229932,0.12034324620068425,0.20081399468461542,0.089407765,0.18215212225740057,0.26384977535959686,0.16667011598791184,-0.035181651,0.08801466,0.090259216,0.141209026,-0.023366558,0.087821305,-0.254672445,0.1393897917214533,-0.160536657,0.12283329854438088,0.22680605715360352,0.1510289549789644,-0.224677002,0.11568554035712766,0.18953756726223905,0.12972736424669232,-0.198302271,0.13212209144801793,-0.224707888,0.13518281219961684,-0.104066274,0.15026575866302602,-0.376563332,0.1318278081124405,-0.054252722,0.13340758748544382,-0.133519933,0.14679834421674298,-0.148026465,0.12696708164012088,-0.078151947,0.14771804136625916
-0.2,-0.062727817,0.046616370693720356,-0.001754019,,,,,-0.062727819,0.029694207292323933,-0.110940215,0.12752775592547208,0.091197737,0.19968403001643265,0.072635126,0.15939151542372537,0.343461061,0.19059687480370038,-0.077268299,0.09062528,-0.074233928,0.1427712156516886,-0.036952556,0.1055748828999619,-0.243510949,0.1565247065503844,-0.126073531,0.1276779441010392,-0.042396009,0.12152855099122191,-0.254161477,0.11845077734387119,0.019128288054522477,0.1412714058101983,-0.148537867,0.12135192119722635,-0.164633962,0.13928612405229626,-0.042406169,0.1633498332991886,-0.220158451,0.13177642483401025,-0.035112739,0.15450011122595156,-0.067099727,0.12724265026503428,-0.084069762,0.12659239120189184,-0.053422943,0.1477722778065657
-0.1,-0.051261135,0.046946119,-0.003443112,,,,,-0.051261138,0.033522598,-0.124646303,0.11891800228869828,0.041639542,0.1949623486797854,0.059120181,0.13490433106621297,0.3147751041600164,0.18673324318454756,0.014871442549914684,0.11093852608380607,-0.113182395,0.130207579,-0.012949291,0.12074567191138463,-0.190534587,0.16224682828679482,-0.154098793,0.12995963844746047,-0.091259805,0.11555140245346981,-0.124399256,0.1368366906823472,0.2568071814504329,0.12792575473706633,-0.16899538,0.14768714188743032,-0.156952361,0.16572289285590672,-0.012446037,0.15655112629382012,-0.28743484,0.15406517871735262,-0.047983867,0.14349794001712615,-0.086844345,0.12503719671736888,-0.213571131,0.13320764120135853,0.072862178,0.13722819056934005
